Species	Lat	Lon	field.num	Exact_Site
Harttiella_crassicauda	4.82071	-54.60540	AUF_4209	Ijskreek
Harttiella_crassicauda	4.81726	-54.54120	AUF_4682	Paramaka_Creek
Harttiella_crassicauda	4.81726	-54.54120	AUF_4683	Paramaka_Creek
Harttiella_crassicauda	4.81726	-54.54120	AUF_4684	Paramaka_Creek
Harttiella_crassicauda	4.85189	-54.59040	AUF_4685	Paramaka_Creek
Harttiella_crassicauda	4.85189	-54.59040	AUF_4686	Paramaka_Creek
Chasmocranus_brevior	5.30109	-53.96710	BIO13-11_(1)	Crique_Tatou
Chasmocranus_brevior	5.30109	-53.96710	BIO13-11_(2)	Crique_Tatou
Curculionichthys_sp._Maroni	3.39935	-53.80470	BIO13-4	Waki_River
Lithoxus_aff._planquettei	3.00083	-54.08330	GF00-071	Antecuma_Pata:_Marouini_River
Pseudancistrus_barbatus	3.00083	-54.08330	GF00-072	Antecume_Pata
Guyanancistrus_brevispinis	3.25889	-54.08420	GF00-073	Saut_Tula_Lapata
Pseudancistrus_barbatus	3.25889	-54.08420	GF00-074	Saut_Toulalapata
Harttia_guianensis	3.25889	-54.08420	GF00-076	Saut_Tula_Lapata
Harttia_guianensis	3.25889	-54.08420	GF00-077	Saut_Tula_Lapata
Lithoxus_aff._planquettei	3.29223	-54.06780	GF00-081	"Saut_Tula_Lapata,_Marouini_River,_upstream_of_the_confluence_with_Litany_River"
Harttia_guianensis	3.00083	-54.08330	GF00-082	Saut_Aweime_eni
Metaloricaria_paucidens	3.29717	-54.07100	GF00-083	Antecume_Pata
Hemiancistrus_medians	3.29694	-54.07080	GF00-084	"In_the_vicinity_of_Antecume_Pata,_Marouini_River"
Hemiancistrus_medians	3.29717	-54.07100	GF00-085	Antecume_Pata
Harttia_guianensis	3.00083	-54.08330	GF00-090	Saut_Aweime_eni
Hypostomus_gymnorhynchus	3.00083	-54.08330	GF00-091	Saut_Aweime_eni
Cteniloricaria_platystoma	3.28667	-54.06360	GF00-092	Saut_Aweim??_en??
Pseudancistrus_barbatus	3.00083	-54.08330	GF00-094	Saut_Aweime_eni
Hemisorubim_platyrhynchos	2.81694	-53.53310	GF00-096	Saut_Pierkuru
Loricaria_aff._nickeriensis	2.81694	-53.53310	GF00-097	Saut_Pierkuru
Loricaria_aff._nickeriensis	2.81694	-53.53310	GF00-098	Saut_Pierkuru
Platydoras_costatus	2.81694	-53.53310	GF00-100	Saut_Pierkuru
Doras_carinatus	2.83494	-53.54700	GF00-101	Saut_Pierkuru
Doras_micropoeus	2.83494	-53.54700	GF00-102	Saut_Pierkuru
Guyanancistrus_brevispinis	3.29206	-54.07660	GF00-103	"Antecume_Pata,_Litani_River"
Ageneiosus_inermis	3.29717	-54.07100	GF00-110	Vicinity_of_Antecume_Pata
Metaloricaria_paucidens	3.29717	-54.07100	GF00-111	Vicinity_of_Antecume_Pata
Lithoxus_aff._planquettei	3.00083	-54.08330	GF00-112	Antecuma_Pata:_Marouini_River
Guyanancistrus_brevispinis	3.00083	-54.08330	GF00-113	Antecume_Pata
Guyanancistrus_brevispinis	3.00083	-54.08330	GF00-114	Antecume_Pata
Pseudoqolus_koko	3.29694	-54.07080	GF00-115	"In_the_vicinity_of_Antecume_Pata,_Marouini_River"
Loricaria_aff._nickeriensis	3.00083	-54.08330	GF00-120	Antecume_Pata
Guyanancistrus_brevispinis	3.00083	-54.08330	GF00-121	Antecume_Pata
Guyanancistrus_brevispinis	3.00083	-54.08330	GF00-122	Antecume_Pata
Pseudancistrus_barbatus	3.30006	-54.06410	GF00-127	Antecume_Pata
Pseudancistrus_barbatus	3.30006	-54.06410	GF00-128	Antecume_Pata
Cephalosilurus_nigricaudus	3.30006	-54.06410	GF00-129	Vicinity_of_Antecume_Pata
Heptapterus_tapanahoniensis	3.29206	-54.07660	GF00-130	Antecume_Pata
Ancistrus_cf._leucostictus	3.29778	-54.06190	GF00-132	Crique_Alulimai
Lithoxus_aff._planquettei	3.30178	-54.08170	GF00-133	Antecume_Pata
Pseudancistrus_barbatus	3.00083	-54.08330	GF00-342	Antecume_Pata
Pseudancistrus_barbatus	3.00083	-54.08330	GF00-343	Antecume_Pata
Metaloricaria_paucidens	3.29717	-54.07100	GF00-344	Antecume_Pata
Metaloricaria_paucidens	3.29717	-54.07100	GF00-345	Antecume_Pata
Hypostomus_gymnorhynchus	3.30028	-54.06810	GF00-349	Alatalipo
Harttia_guianensis	3.29717	-54.07100	GF00-350	Antecume_Pata
Harttia_guianensis	3.29694	-54.07080	GF00-351	Marouini_River_in_the_vicinity_of_Antecume_Pata
Cteniloricaria_platystoma	3.01842	-53.65420	GF00-352	Vicinity_of_Antecume_Pata
Cteniloricaria_platystoma	3.01842	-53.65420	GF00-353	Vicinity_of_Antecume_Pata
Batrochoglanis_raninus	5.31331	-53.95440	GF06_427	Balat??_creek_affluent
Myloplus_ternetzi	5.31331	-53.95440	GF06-420	Crique_Balate
Ancistrus_temminckii	5.31331	-53.95440	GF06-422	Crique_Balate
Ancistrus_temminckii	5.31331	-53.95440	GF06-423	Crique_Balate
Rineloricaria_aff._stewarti_3	5.31331	-53.95440	GF06-428	Crique_Balate
Rineloricaria_aff._stewarti_3	5.31331	-53.95440	GF06-429	Crique_affluent_Balat??
Rineloricaria_aff._stewarti_3	5.31331	-53.95440	GF06-430	Crique_Balate
Chasmocranus_longior	5.31331	-53.95440	GF06-431	_Tributary_of_Crique_Balat??
Gymnotus_anguillaris	5.31331	-53.95440	GF06-433	First_creek_tributary_of_Balate_which_crosses_on_the_road_of_Voltaire_fall_(from_St-Laurent)
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-434	Crique_affluent_Balat??
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-435	Crique_affluent_Balat??
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-436	Crique_Balate
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-437	Crique_affluent_Balat??
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-438	Crique_Balate
Pimelodella_aff._cristata	5.31331	-53.95440	GF06-439	Crique_affluent_Balat??
Auchenipterus_nuchalis	5.46667	-54.03560	GF06-440	Crique_Balate
Auchenipterus_nuchalis	5.46667	-54.03560	GF06-441	Crique_Balate
Ageneiosus_inermis	5.46667	-54.03560	GF06-448	Crique_Balate
Eigenmannia_virescens	5.46667	-54.03560	GF06-450	Crique_Balat??
Serrasalmus_rhombeus	5.46667	-54.03560	GF06-451	Crique_Balat??
Ancistrus_temminckii	5.05172	-54.08890	GF06-452	Crique_Voltaire
Ancistrus_temminckii	5.05172	-54.08890	GF06-453	Crique_Voltaire
Cteniloricaria_platystoma	5.05172	-54.08890	GF06-454	Voltaire_Creek
Cteniloricaria_platystoma	5.05172	-54.08890	GF06-456	Crique_Voltaire
Myloplus_ternetzi	5.05172	-54.08890	GF06-457	Voltaire_Creek
Corydoras_geoffroy	5.05172	-54.08890	GF06-458	Crique_Voltaire
Corydoras_geoffroy	5.05172	-54.08890	GF06-459	Crique_Voltaire
Corydoras_geoffroy	5.05172	-54.08890	GF06-460	Crique_Voltaire
Guyanancistrus_brevispinis	5.05172	-54.08890	GF06-467	Voltaire_Kreek
Loricaria_cataphracta	5.05172	-54.08890	GF06-470	Voltaire_Creek
Metaloricaria_paucidens	5.05172	-54.08890	GF06-471	Crique_Voltaire
Glanidium_leopardus	5.05172	-54.08890	GF06-472	Voltaire_Kreek
Hypostomus_gymnorhynchus	5.05172	-54.08890	GF06-473	Crique_Voltaire
Hypostomus_gymnorhynchus	5.05172	-54.08890	GF06-474	Crique_Voltaire
Curculionichthys_sp._Maroni	5.05172	-54.08890	GF06-475	Voltaire_Creek
Ancistrus_temminckii	5.02947	-54.08840	GF06-476	Chutes_Voltaires
Guyanancistrus_brevispinis	5.02947	-54.08840	GF06-478	Voltaire_Creek
Cteniloricaria_platystoma	5.02947	-54.08840	GF06-479	Chutes_Voltaires
Guyanancistrus_brevispinis	5.02947	-54.08840	GF06-480	Voltaire_Kreek
Guyanancistrus_brevispinis	5.02947	-54.08840	GF06-481	Voltaire_Kreek
Lithoxus_aff._planquettei	5.02947	-54.08840	GF06-503	"Voltaire_Creek,_Voltaire_Falls"
Lithoxus_aff._planquettei	5.02947	-54.08840	GF06-504	"Voltaire_Creek,_Voltaire_Falls"
Lithoxus_aff._planquettei	5.02947	-54.08840	GF06-505	"Voltaire_Creek,_Voltaire_Falls"
Hypostomus_gymnorhynchus	5.02947	-54.08840	GF06-529	Chutes_Voltaires
Farlowella_reticulata	5.35169	-54.10880	GF06-637	Crique_Cascades
Chasmocranus_brevior	5.35169	-54.10880	GF06-638	Creek_Cascades_affluent
Rineloricaria_aff._stewarti_3	5.35169	-54.10880	GF06-639	Creek_Cascades_affluent
Rineloricaria_aff._stewarti_3	5.35169	-54.10880	GF06-640	Creek_Cascades_affluent
Helogenes_marmoratus	5.35169	-54.10880	GF06-664	Creek_Cascades_affluent
Ancistrus_temminckii	5.35169	-54.10880	GF06-665	Crique_Cascades
Leporinus_fasciatus	5.33333	-54.15000	GF10-007	Crique_Serpent
Myloplus_planquettei	5.33333	-54.15000	GF10-008	Crique_Serpent
Myloplus_rhomboidalis	5.33333	-54.15000	GF10-009	Crique_Serpent
Triportheus_brachipomus	5.33333	-54.15000	GF10-014	Crique_Serpent
Triportheus_brachipomus	5.33333	-54.15000	GF10-015	Crique_Serpent
Curimata_cyprinoides	5.33333	-54.15000	GF10-016	Serpent_Creek_river_mouth
Curimata_cyprinoides	5.33333	-54.15000	GF10-017	Serpent_Creek_river_mouth
Hypostomus_plecostomus	5.33333	-54.15000	GF10-027	Serpent_Creek_river_mouth
Gasteropelecus_sternicla	5.31667	-54.13330	GF10-028	Crique_Serpent
Gasteropelecus_sternicla	5.31667	-54.13330	GF10-029	Crique_Serpent
Pimelodus_ornatus	5.31667	-54.13330	GF10-030	Serpent_Creek
Loricaria_cataphracta	5.31667	-54.13330	GF10-031	Serpent_Creek
Bryconops_affinis	5.31667	-54.13330	GF10-032	Serpent_Creek
Charax_gibbosus	5.31667	-54.13330	GF10-033	Crique_Serpent
Pachypops_aff._fourcroi	3.38333	-54.05530	GF15-001	"Taluen_(Opoya),_Lawa_River"
Pachypops_aff._fourcroi	3.38333	-54.05530	GF15-002	"Taluen_(Opoya),_Lawa_River"
Pimelodus_ornatus	3.38333	-54.05530	GF15-003	"Taluen_(Opoya),_Lawa_River"
Platydoras_costatus	3.38333	-54.05530	GF15-004	"Taluen_(Opoya),_Lawa_River"
Platydoras_costatus	3.38333	-54.05530	GF15-005	"Taluen_(Opoya),_Lawa_River"
Geophagus_harreri	3.38333	-54.05530	GF15-006	Taluen
Cichla_ocellaris	3.38333	-54.05530	GF15-007	Taluen
Doras_micropoeus	3.38333	-54.05530	GF15-008	"Taluen_(Opoya),_Lawa_River"
Doras_micropoeus	3.38333	-54.05530	GF15-009	"Taluen_(Opoya),_Lawa_River"
Serrasalmus_rhombeus	3.33503	-54.06290	GF15-010	"Domofou_Sula,_Taluen_(Opoya),_Lawa_River"
Tometes_lebaili	3.33503	-54.06290	GF15-011	"Domofou_Sula,_Taluen_(Opoya),_Lawa_River"
Leporinus_friderici	3.33503	-54.06290	GF15-012	"Domofou_Sula,_Taluen_(Opoya),_Lawa_River"
Leporinus_friderici	3.33503	-54.06290	GF15-013	"Domofou_Sula,_Taluen_(Opoya),_Lawa_River"
Tometes_lebaili	3.38333	-54.05530	GF15-015	"Taluen_(Opoya),_Lawa_River"
Geophagus_harreri	3.38333	-54.05530	GF15-016	Taluen
Myloplus_rhomboidalis	3.38333	-54.05530	GF15-017	"Taluen_(Opoya),_Lawa_River"
