Sample ID	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	Species
SU08-565	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus falcatus
SU08-566	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus falcatus
GF15-271	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus microlepis
GFSU14-263	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus microlepis
SU08-193	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus microlepis
SU08-215	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus microlepis
SU08-216	Chordata	Actinopterygii	Characiformes	Acestrorhynchidae	Acestrorhynchinae		Acestrorhynchus	Acestrorhynchus microlepis
GF15-023	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GF15-080	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GF15-311	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GF15-426	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GFSU14-020	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GFSU14-159	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GFSU14-190	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GFSU14-307	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
GFSU14-311	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-1257-1	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-1257-2	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-410	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-411	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-779	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
SU08-780	Chordata	Actinopterygii	Characiformes	Serrasalmidae			Acnodon	Acnodon oligacanthus
PAG-2612	Chordata	Actinopterygii	Cichliformes	Cichlidae	Cichlinae		Aequidens	Aequidens tetramerus
SU08-517	Chordata	Actinopterygii	Cichliformes	Cichlidae	Cichlinae		Aequidens	Aequidens tetramerus
SU08-608	Chordata	Actinopterygii	Cichliformes	Cichlidae	Cichlinae		Aequidens	Aequidens tetramerus
SU08-610	Chordata	Actinopterygii	Cichliformes	Cichlidae	Cichlinae		Aequidens	Aequidens tetramerus
GF00-110	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GF06-448	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GF15-114	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GF15-298	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GFSU14-058	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GFSU14-103	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GFSU14-294	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GFSU14-303	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
SU08-206	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
SU08-362	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
SU08-363	Chordata	Actinopterygii	Siluriformes	Auchenipteridae	Auchenipterinae		Ageneiosus	Ageneiosus inermis
GF00-132	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
GF15-295	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
GFSU14e-1511	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
GFSU14e-1525	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
GFSU14e-1526-1	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
GFSU14e-1526-2	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
MUS 586	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
MUS 587	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
MUS 588	Chordata	Actinopterygii	Siluriformes	Loricariidae	Ancistrinae		Ancistrus	Ancistrus cf. leucostictus
