Lat	Lon	Count	Size
3.39008	-53.926	161	3.5
3.19833	-55.4075	137	3.5
2.85858	-53.9773	128	3.5
3.17833	-55.4192	127	3.5
2.67692	-53.9993	116	3.5
3.38333	-54.0553	75	3
2.93797	-54.1724	74	3
3.366	-55.4321	71	3
3.80552	-54.1616	45	2.5
2.75039	-54.2358	41	2.5
3.39217	-53.8311	32	2.5
5.05172	-54.0889	15	2.5
5.31331	-53.9544	15	2.5
3.00083	-54.0833	14	2.5
5.31844	-54.1478	14	2.5
3.32417	-53.8367	13	2.5
3.29206	-54.0766	9	1.5
5.02947	-54.0884	9	1.5
5.25486	-54.2544	9	1.5
2.81694	-53.5331	8	1.5
5.33333	-54.15	8	1.5
3.29717	-54.071	7	1.5
3.33503	-54.0629	7	1.5
3.82955	-54.1958	7	1.5
3.35036	-55.4379	6	1.5
3.59906	-53.2535	6	1.5
5.31667	-54.1333	6	1.5
5.35169	-54.1088	6	1.5
2.83494	-53.547	5	1.5
3.59889	-53.2533	5	1.5
3.6593	-53.9625	5	1.5
4.83972	-54.5903	5	1.5
5.46667	-54.0356	5	1.5
3.01842	-53.6542	4	1.5
3.25889	-54.0842	4	1.5
3.30006	-54.0641	4	1.5
3.42383	-54.0152	4	1.5
3.52667	-53.1667	4	1.5
5.67417	-53.9464	4	1.5
3.29694	-54.0708	3	1.5
3.3859	-53.5638	3	1.5
3.55	-53.9167	3	1.5
3.6	-53.8	3	1.5
3.61144	-53.1668	3	1.5
3.65436	-53.9955	3	1.5
4.6193	-54.34	3	1.5
4.81726	-54.5412	3	1.5
4.82028	-54.6056	3	1.5
2.30222	-54.5333	2	1.5
2.82783	-53.5463	2	1.5
3.4691	-54.0085	2	1.5
3.59682	-53.9838	2	1.5
3.65536	-53.9955	2	1.5
4.85189	-54.5904	2	1.5
5.30109	-53.9671	2	1.5
2.30722	-54.5419	1	0.5
2.66775	-53.9993	1	0.5
2.727	-54.258	1	0.5
2.93314	-54.177	1	0.5
3.19847	-55.4069	1	0.5
3.28667	-54.0636	1	0.5
3.29	-54.0772	1	0.5
3.29014	-54.1088	1	0.5
3.29223	-54.0678	1	0.5
3.29778	-54.0619	1	0.5
3.30028	-54.0681	1	0.5
3.30178	-54.0817	1	0.5
3.31667	-53.8333	1	0.5
3.36583	-55.4319	1	0.5
3.39	-53.9258	1	0.5
3.39935	-53.8047	1	0.5
3.40084	-53.8075	1	0.5
3.4025	-53.8918	1	0.5
3.45591	-54.0021	1	0.5
3.52667	-53.16	1	0.5
3.5646	-53.2029	1	0.5
3.61055	-53.9708	1	0.5
3.65	-53.8333	1	0.5
3.65713	-53.825	1	0.5
3.66733	-53.9613	1	0.5
3.80612	-54.1487	1	0.5
4.82071	-54.6054	1	0.5
4.86	-54.5917	1	0.5
